id,insurance_id,client_id,policy_number,start_date,end_date,annual_fee,agent_id
1,5,1,MK20377,2018-02-05,2020-02-04,800,1
2,5,9,MS20301,2017-01-01,2021-12-31,550,1
3,5,10,SK20386,2020-03-03,2021-03-02,1200,3
4,1,9,ZK20303,2019-01-07,2020-01-06,320,4
5,1,10,XK20304,2017-06-26,2018-06-25,280,5
6,1,1,MK20305,2018-10-10,2021-10-09,225,11
7,5,6,HJ20306,2016-01-01,2021-12-31,430,5
8,5,18,QK20307,2020-05-01,2021-04-30,960,1
9,5,21,MW20308,2019-07-10,2020-07-09,800,2
10,1,2,ME20309,2015-03-30,2020-03-29,300,11
11,2,2,MR20310,2020-01-01,2020-12-31,250,11
12,4,3,TT20311,2020-01-01,2022-12-31,760,10
13,4,7,YK20312,2019-01-01,2019-12-31,600,8
14,4,17,YK20313,2018-12-10,2020-12-11,500,8
15,1,12,MK20314,2019-04-01,2020-03-31,280,7
16,5,12,MK20315,2020-06-01,2021-05-31,760,6
17,2,12,NK20456,2019-06-10,2020-06-09,190,6
18,3,12,NK20317,2020-08-01,2021-07-31,98,11
19,4,12,MV20318,2019-07-10,2020-07-09,550,4
20,1,18,VD20319,2019-01-01,2019-12-31,340,4
21,2,18,DK20320,2015-03-30,2019-03-29,285,4
22,3,18,MD20321,2018-01-01,2020-12-31,76,3
23,4,18,CC20322,2020-09-01,2021-08-31,1200,11
24,3,6,AK20383,2015-05-30,2020-05-29,67,5
25,1,8,AA20324,2019-03-02,2021-03-01,450,6
26,4,8,BF20325,2019-01-17,2020-01-16,1100,6
27,4,11,FF20326,2017-06-16,2018-06-15,950,5
28,4,13,JJ20327,2018-11-10,2021-11-09,650,5
29,4,15,KH20328,2020-04-01,2021-03-31,890,7
30,5,15,XB20329,2015-05-30,2020-05-29,657,9
31,3,19,WE20330,2019-03-02,2021-03-01,105,9
32,4,20,ER20331,2019-01-07,2020-01-06,760,10
33,2,20,EE20332,2020-01-01,2022-12-31,290,6
34,3,20,AU20333,2019-01-01,2019-12-31,115,9
35,1,22,UT20334,2018-12-10,2020-12-11,360,6
36,3,25,MK20335,2019-04-01,2020-03-31,88,11
37,4,25,GG20336,2020-06-01,2021-05-31,2250,11
38,2,22,JJ20337,2015-05-30,2020-05-29,305,9
39,4,22,XA20338,2019-03-02,2021-03-01,2100,11
